,Date,Number of Pretrained Models,Time,exp_fit
0,2021-01-12,6,0,15.80156713029048
1,2021-03-01,12,48,15.877678561279499
2,2021-07-20,12,189,16.320306651133173
3,2022-04-01,22,444,19.716343066419896
4,2022-04-24,25,467,20.41930449960182
5,2022-05-05,27,478,20.796818949275053
6,2022-05-20,27,493,21.359782181170083
7,2022-06-03,29,507,21.940176949774703
8,2022-09-14,33,610,28.451845429263088
9,2022-10-31,33,657,33.343272408653135
10,2022-11-07,33,664,34.2164349995931
11,2022-11-13,34,670,34.99899355204173
12,2022-11-18,36,675,35.67620507005093
13,2023-01-21,43,739,46.749109529122954
14,2023-01-28,45,746,48.28222969477983
15,2023-01-29,46,747,48.507323284240584
16,2023-01-31,47,749,48.96217296651634
17,2023-02-03,49,752,49.65626508064617
18,2023-02-10,51,759,51.33250195806572
19,2023-02-26,54,775,55.48033082981422
20,2023-03-05,55,782,57.44328134341127
21,2023-05-03,80,841,78.33503736547827
22,2023-05-12,87,850,82.33301202684491
